health_state,utility,setting,funding
Breast cancer: progression-free / early stage,0.74,France,Government
Breast cancer: progressive / late stage,0.5,France,Government
CVD: severe (Rankin 4-5),0.36,United States,Health Care
CVD: moderate (Rankin 2-3),0.76,United States,Health Care
Past M.I. (<1 year),0.76,United Kingdom,GovernmentFoundation
Past M.I. (>1 year),0.88,United Kingdom,GovernmentFoundation
Unstable angina,0.77,United Kingdom,GovernmentFoundation
Unstable angina,0.88,United Kingdom,GovernmentFoundation
Hepatitis B: chronic infection,0.94,China,Government
Compensated cirrhosis,0.8,China,Government
Decompensated cirrhosis,0.6,China,Government
"Alzheimer's: mild, independent living",0.6,United Kingdom,Pharm Or Device
"Alzheimer's: severe, not independent",0.34,United Kingdom,Pharm Or Device
Breast cancer: progression-free / early stage,0.54,South Korea,Pharm Or Device
Breast cancer: progressive / late stage,0.62,South Korea,Pharm Or Device
Diabetes w/ amputation,0.5,European Union,Pharm Or Device
Diabetes w/ vision loss,0.706,European Union,Pharm Or Device
Diabetes w/o complications,0.78,European Union,Pharm Or Device
Diabetes w/o complications,0.771,United Kingdom,Government
"Alzheimer's: mild, independent living",0.77,United States,None
"Alzheimer's: severe, not independent",0.35,United States,None
Diabetes w/o complications,0.76,United Kingdom,Pharm Or Device
Major depressive order: moderate,0.65,Netherlands,Government
Lung cancer: progression-free / early stage,0.6,United Kingdom,Government
Lung cancer: progressive / late stage,0.47,United States,Pharm Or Device
Hepatitis B: chronic infection,0.81,United States,Pharm Or Device
Compensated cirrhosis,0.82,United States,Pharm Or Device
Decompensated cirrhosis,0.36,United States,Pharm Or Device
"Alzheimer's: mild, independent living",0.68,Taiwan,Pharm Or Device
"Alzheimer's: severe, not independent",0.37,Taiwan,Pharm Or Device
Past M.I. (<1 year),0.8,United Kingdom,Pharm Or DeviceOther
Past M.I. (>1 year),0.93,United Kingdom,Pharm Or DeviceOther
CVD: severe (Rankin 4-5),0.52,United Kingdom,Pharm Or DeviceOther
CVD: mild (Rankin 0-1),0.78,United Kingdom,Pharm Or DeviceOther
Past M.I. (>1 year),0.93,United Kingdom,Pharm Or DeviceOther
Past M.I. (<1 year),0.8,United Kingdom,Pharm Or DeviceOther
CVD: mild (Rankin 0-1),0.74,United States,Government
CVD: severe (Rankin 4-5),0.4,United States,Government
Diabetes w/ dialysis,0.66,Japan,Pharm Or DeviceOther
CVD: moderate (Rankin 2-3),0.59,Japan,Pharm Or DeviceOther
CVD: severe (Rankin 4-5),0.28,Japan,Pharm Or DeviceOther
CVD: mild (Rankin 0-1),0.78,Japan,Pharm Or DeviceOther
Breast cancer: progressive / late stage,0.4,United States,Government
Diabetes w/ amputation,0.891,United States,Pharm Or Device
Diabetes w/ vision loss,0.794,United States,Pharm Or Device
Diabetes w/o complications,0.814,United States,Pharm Or Device
Diabetes w/ dialysis,0.49,United States,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.624,United States,Pharm Or Device
Diabetes w/ dialysis,0.56,United States,Pharm Or Device
Hepatitis B: chronic infection,0.94,United States,None
Compensated cirrhosis,0.8,United States,None
Decompensated cirrhosis,0.6,United States,None
Past M.I. (>1 year),0.718,United Kingdom,Pharm Or Device
Past M.I. (<1 year),0.683,United Kingdom,Pharm Or Device
Hepatitis B: chronic infection,0.95,Taiwan,Pharm Or Device
Compensated cirrhosis,0.9,Taiwan,Pharm Or Device
Decompensated cirrhosis,0.54,Taiwan,Pharm Or Device
Prior liver transplant (<1 year),0.5,Taiwan,Pharm Or Device
Prior liver transplant (>1 year),0.7,Taiwan,Pharm Or Device
Compensated cirrhosis,0.7,Belgium,Pharm Or Device
Decompensated cirrhosis,0.65,Belgium,Pharm Or Device
Prior liver transplant (<1 year),0.5,Belgium,Pharm Or Device
Prior liver transplant (>1 year),0.7,Belgium,Pharm Or Device
Hepatitis C: chronic infection,0.82,Belgium,Pharm Or Device
Hepatitis C: chronic infection,0.78,Belgium,Pharm Or Device
Hepatitis C: chronic infection,0.95,Belgium,None
Hepatitis C: chronic infection,0.92,Belgium,None
Compensated cirrhosis,0.89,Belgium,None
Decompensated cirrhosis,0.81,Belgium,None
Prior liver transplant (<1 year),0.86,Belgium,None
Prior liver transplant (>1 year),0.86,Belgium,None
Hepatitis B: chronic infection,0.87,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.84,United Kingdom,Pharm Or Device
Decompensated cirrhosis,0.46,United Kingdom,Pharm Or Device
Prior liver transplant (<1 year),0.42,United Kingdom,Pharm Or Device
Prior liver transplant (>1 year),0.62,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.432,Canada,Pharm Or Device
Breast cancer: progression-free / early stage,0.816,Canada,Pharm Or Device
Colorectal cancer: progressive / late stage,0.65,United Kingdom,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.8,United Kingdom,Pharm Or Device
Breast cancer: progression-free / early stage,0.8,Australia,Pro Memb Org
Breast cancer: progressive / late stage,0.55,Australia,Pro Memb Org
Stable angina,0.644,Switzerland,Pharm Or Device
Diabetes w/o complications,0.66,Switzerland,Pharm Or Device
Diabetes w/o complications,0.734,Switzerland,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.65,Switzerland,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.65,Switzerland,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.444,Switzerland,Pharm Or Device
Diabetes w/ amputation,0.462,Switzerland,Pharm Or Device
Breast cancer: progression-free / early stage,0.8,Norway,Health Care
"Alzheimer's: mild, independent living",0.69,Germany,Government
"Alzheimer's: severe, not independent",0.38,Germany,Government
Diabetes w/o complications,0.8,Canada,Pharm Or Device
Diabetes w/ dialysis,0.644,Canada,Pharm Or Device
Diabetes w/ amputation,0.8,Canada,Pharm Or Device
Diabetes w/ vision loss,0.75,Canada,Pharm Or Device
CVD: severe (Rankin 4-5),0.5,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.75,United States,Pharm Or Device
Major depressive order: moderate,0.63,United Kingdom,Government
Major depressive order: severe,0.3,United Kingdom,Government
CVD: mild (Rankin 0-1),0.85,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.85,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.85,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.51,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.15,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.15,United States,Pharm Or Device
Hepatitis C: chronic infection,0.79,Italy,Pharm Or Device
Compensated cirrhosis,0.8,Italy,Pharm Or Device
Prior liver transplant (<1 year),0.73,Italy,Pharm Or Device
Prior liver transplant (>1 year),0.7,Italy,Pharm Or Device
Compensated cirrhosis,0.55,United Kingdom,Government
Decompensated cirrhosis,0.45,United Kingdom,Government
Hepatitis C: chronic infection,0.79,United Kingdom,Government
Hepatitis C: chronic infection,0.68,United Kingdom,Government
Hepatitis C: chronic infection,0.6,United Kingdom,Government
Compensated cirrhosis,0.89,Sweden,Pharm Or Device
Prior liver transplant (<1 year),0.8,Sweden,Pharm Or Device
Prior liver transplant (>1 year),0.86,Sweden,Pharm Or Device
Hepatitis C: chronic infection,0.95,Sweden,Pharm Or Device
Hepatitis C: chronic infection,0.92,Sweden,Pharm Or Device
Decompensated cirrhosis,0.48,United States,Pharm Or Device
Hepatitis C: chronic infection,0.81,United States,Pharm Or Device
Compensated cirrhosis,0.68,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.718,Spain,Pharm Or Device
Breast cancer: progressive / late stage,0.462,Spain,Pharm Or Device
Breast cancer: progressive / late stage,0.513,United States,Government
Breast cancer: progression-free / early stage,0.65,Thailand,Government
Breast cancer: progressive / late stage,0.62,Thailand,Government
Hepatitis C: chronic infection,0.87,Mexico,GovernmentPharm Or Device
Compensated cirrhosis,0.77,Mexico,GovernmentPharm Or Device
Prior liver transplant (<1 year),0.7,Mexico,GovernmentPharm Or Device
Prior liver transplant (>1 year),0.5,Mexico,GovernmentPharm Or Device
Hepatitis B: chronic infection,0.94,United States,Government
Compensated cirrhosis,0.82,United States,Government
Decompensated cirrhosis,0.54,United States,Government
Breast cancer: progressive / late stage,0.724,Canada,Pharm Or Device
Breast cancer: progression-free / early stage,0.816,Canada,Pharm Or Device
Past M.I. (>1 year),0.9,United States,GovernmentPharm Or Device
Past M.I. (<1 year),0.88,United States,GovernmentPharm Or Device
Breast cancer: progressive / late stage,0.58,United Kingdom,Pharm Or Device
Breast cancer: progression-free / early stage,0.82,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.78,Belgium,Health CareNoneCould not be Determined
Decompensated cirrhosis,0.65,Belgium,Health CareNoneCould not be Determined
Prior liver transplant (<1 year),0.5,Belgium,Health CareNoneCould not be Determined
Prior liver transplant (>1 year),0.7,Belgium,Health CareNoneCould not be Determined
Past M.I. (<1 year),0.8,United States,Government
Past M.I. (>1 year),0.87,United States,Government
CVD: mild (Rankin 0-1),0.75,United States,GovernmentHealth Care
CVD: moderate (Rankin 2-3),0.39,United States,GovernmentHealth Care
CVD: severe (Rankin 4-5),0.12,United States,GovernmentHealth Care
CVD: severe (Rankin 4-5),0.61,United States,Government
CVD: severe (Rankin 4-5),0.2,United Kingdom,Government
CVD: mild (Rankin 0-1),0.7,United Kingdom,Government
Major depressive order: severe,0.3,United States,GovernmentPharm Or Device
Diabetes w/o complications,0.88,United States,GovernmentHealth Care
Diabetes w/ dialysis,0.61,United States,GovernmentHealth Care
COPD: mild to moderate,0.81,Canada,Pharm Or Device
COPD: exacerbation,0.519,Canada,Pharm Or Device
COPD: exacerbation,0.72,Canada,Pharm Or Device
COPD: mild to moderate,0.72,Canada,Pharm Or Device
COPD: exacerbation,0.447,Canada,Pharm Or Device
COPD: exacerbation,0.658,Canada,Pharm Or Device
COPD: severe to very severe,0.67,Canada,Pharm Or Device
COPD: exacerbation,0.408,Canada,Pharm Or Device
COPD: exacerbation,0.475,Canada,Pharm Or Device
CVD: severe (Rankin 4-5),0.52,Sweden,Pharm Or Device
CVD: mild (Rankin 0-1),0.87,Sweden,Pharm Or Device
CVD: moderate (Rankin 2-3),0.68,Sweden,Pharm Or Device
CVD: severe (Rankin 4-5),0.6,United States,Foundation
Compensated cirrhosis,0.89,Germany,Pharm Or Device
Decompensated cirrhosis,0.81,Germany,Pharm Or Device
Hepatitis C: chronic infection,0.95,Germany,Pharm Or Device
Hepatitis C: chronic infection,0.92,Germany,Pharm Or Device
Hepatitis B: chronic infection,0.99,United States,GovernmentPro Memb Org
Compensated cirrhosis,0.8,United States,GovernmentPro Memb Org
Decompensated cirrhosis,0.6,United States,GovernmentPro Memb Org
Breast cancer: progression-free / early stage,0.73,International,Pharm Or Device
Breast cancer: progressive / late stage,0.48,International,Pharm Or Device
CVD: severe (Rankin 4-5),0.52,United Kingdom,Pharm Or Device
CVD: mild (Rankin 0-1),0.78,United Kingdom,Pharm Or Device
Diabetes w/ amputation,0.89,Sweden,Pharm Or Device
Diabetes w/ vision loss,0.96,Sweden,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.75,Sweden,Pharm Or Device
Hepatitis C: chronic infection,0.79,United States,GovernmentPharm Or Device
Decompensated cirrhosis,0.6,United States,GovernmentPharm Or Device
Breast cancer: progressive / late stage,0.45,Italy,Pharm Or Device
Breast cancer: progression-free / early stage,0.67,Italy,Pharm Or Device
Compensated cirrhosis,0.85,United States,Government
Decompensated cirrhosis,0.6,United States,Government
Prior liver transplant (<1 year),0.86,United States,Government
Prior liver transplant (>1 year),0.95,United States,Government
Hepatitis C: chronic infection,0.98,United States,Government
Hepatitis C: chronic infection,0.92,United States,Government
"Alzheimer's: mild, independent living",0.68,Finland,Foundation
Diabetes w/ vision loss,0.69,United States,Government
Diabetes w/ dialysis,0.61,United States,Government
Diabetes w/ amputation,0.8,United States,Government
Breast cancer: progression-free / early stage,0.83,United States,FoundationHealth Care
Breast cancer: progressive / late stage,0.3,United States,FoundationHealth Care
CVD: severe (Rankin 4-5),0.2,Netherlands,Government
CVD: mild (Rankin 0-1),0.8,Netherlands,Government
"Alzheimer's: severe, not independent",0.3207,United Kingdom,Pharm Or Device
"Alzheimer's: mild, independent living",0.6511,United Kingdom,Pharm Or Device
Major depressive order: severe,0.25,United States,GovernmentFoundation
Hepatitis C: chronic infection,0.82,Belgium,Pharm Or Device
Compensated cirrhosis,0.78,Belgium,Pharm Or Device
Decompensated cirrhosis,0.65,Belgium,Pharm Or Device
Prior liver transplant (<1 year),0.5,Belgium,Pharm Or Device
Prior liver transplant (>1 year),0.7,Belgium,Pharm Or Device
Diabetes w/ vision loss,0.71,United States,Other
CVD: severe (Rankin 4-5),0.38,United Kingdom,Government
CVD: mild (Rankin 0-1),0.74,United Kingdom,Government
Diabetes w/ amputation,0.5,United Kingdom,Pharm Or Device
Diabetes w/ vision loss,0.71,United Kingdom,Pharm Or Device
CVD: mild (Rankin 0-1),0.76,United States,GovernmentFoundation
CVD: severe (Rankin 4-5),0.39,United States,GovernmentFoundation
Diabetes w/ dialysis,0.68,United States,Government
Diabetes w/ dialysis,0.621,Canada,Foundation
Breast cancer: progression-free / early stage,0.695,United Kingdom,Pharm Or Device
Hepatitis B: chronic infection,0.87,United States,Pharm Or Device
Compensated cirrhosis,0.77,United States,Pharm Or Device
Compensated cirrhosis,0.82,United States,Government
Decompensated cirrhosis,0.53,United States,Government
Hepatitis C: chronic infection,0.98,United States,Government
Hepatitis C: chronic infection,0.92,United States,Government
Compensated cirrhosis,0.62,Spain,Health Care
Decompensated cirrhosis,0.27,Spain,Health Care
Prior liver transplant (<1 year),0.45,Spain,Health Care
Prior liver transplant (>1 year),0.62,Spain,Health Care
Hepatitis C: chronic infection,0.73,Spain,Health Care
Hepatitis C: chronic infection,0.69,Spain,Health Care
Compensated cirrhosis,0.89,United States,Pharm Or Device
Decompensated cirrhosis,0.81,United States,Pharm Or Device
Hepatitis C: chronic infection,0.95,United States,Pharm Or Device
Hepatitis C: chronic infection,0.92,United States,Pharm Or Device
Lung cancer: progressive / late stage,0.66,United States,Foundation
Breast cancer: progressive / late stage,0.695,United Kingdom,Pharm Or Device
Hepatitis B: chronic infection,0.95,Taiwan,Pharm Or DeviceOther
Compensated cirrhosis,0.9,Taiwan,Pharm Or DeviceOther
Decompensated cirrhosis,0.65,Taiwan,Pharm Or DeviceOther
CVD: mild (Rankin 0-1),0.8,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.65,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.5,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.35,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.2,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.25,Netherlands,Other
CVD: mild (Rankin 0-1),0.55,Netherlands,Other
Breast cancer: progression-free / early stage,0.68,United States,GovernmentFoundation
Breast cancer: progressive / late stage,0.52,United States,GovernmentFoundation
Stable angina,0.9,United States,Foundation
